"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-04","0.00","57","69","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-05","0.00","56","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-06","0.00","57","65","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-07","0.00","60","71","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-08","0.00","60","70","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-09","0.00","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-10","0.00","59","66","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-11","0.00","59","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-12","0.00","69","76","57"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-13","0.00","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-14","0.00","59","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-15","0.00","60","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-16","0.00","60","68","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-17","0.00","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-18","0.00","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-19","0.00","57","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-20","0.00","57","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-21","0.00","58","67","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-22","0.00","57","61","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-23","0.00","57","63","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-24","0.00","58","64","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-25","0.01","59","65","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-26","0.00","59","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-27","0.00","60","74","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-28","0.00","65","84","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-29","0.00","64","71","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-30","0.00","58","62","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-05-31","0.00","58","64","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-01","0.00","59","75","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-02","0.00","65","85","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-03","0.00","64","75","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-04","0.00","61","67","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-05","0.00","59","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-06","0.00","58","65","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-07","0.00","60","66","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-08","0.00","61","70","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-09","0.00","61","67","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-10","0.00","60","68","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2018-06-11","0.00","61","71","56"
